Date,Time,Ticker,open,high,low,close,volume
20220705,14:40:00,AAPL,141.39,141.44,141.35,141.375,137643
20220705,14:41:00,AAPL,141.385,141.3999,141.31,141.365,134923
20220705,14:42:00,AAPL,141.3619,141.3659,141.18,141.2509,175011
20220705,14:43:00,AAPL,141.26,141.2899,141.175,141.23,91861
20220705,14:44:00,AAPL,141.23,141.24,141.16,141.19,117497
20220705,14:45:00,AAPL,141.205,141.218,141.11,141.1912,99571
20220705,14:46:00,AAPL,141.1941,141.3099,141.13,141.17,129354
20220705,14:47:00,AAPL,141.19,141.2,141.06,141.08,110878
20220705,14:48:00,AAPL,141.09,141.0978,140.92,140.98,153793
20220705,14:49:00,AAPL,140.985,141.055,140.9339,141.025,98061
20220705,14:50:00,AAPL,141.03,141.07,140.99,141.0,91893
20220705,14:51:00,AAPL,141.0,141.0325,140.94,141.02,106878
20220705,14:52:00,AAPL,141.0101,141.04,140.83,140.8699,101811
20220705,14:53:00,AAPL,140.87,140.8799,140.805,140.8499,117506
20220705,14:54:00,AAPL,140.85,140.94,140.85,140.909,83330
20220705,14:55:00,AAPL,140.9,140.94,140.85,140.91,74270
20220705,14:56:00,AAPL,140.91,141.06,140.89,141.015,106953
20220705,14:57:00,AAPL,141.03,141.04,140.93,141.0,81945
20220705,14:58:00,AAPL,141.0,141.03,140.95,141.0,61541
20220705,14:59:00,AAPL,141.0,141.0199,140.905,140.92,67165
20220705,15:00:00,AAPL,140.92,140.937,140.812,140.84,91108
20220705,15:01:00,AAPL,140.83,140.84,140.59,140.655,167344
20220705,15:02:00,AAPL,140.65,140.785,140.61,140.765,96732
20220705,15:03:00,AAPL,140.765,140.8131,140.7,140.8101,81147
20220705,15:04:00,AAPL,140.82,140.865,140.79,140.84799999999998,84961
20220705,15:05:00,AAPL,140.865,141.09,140.78,140.97,250851
20220705,15:06:00,AAPL,140.98,141.09,140.905,141.09,100547
20220705,15:07:00,AAPL,141.09,141.1885,141.06,141.155,167872
20220705,15:08:00,AAPL,141.155,141.27,141.0903,141.15,157347
20220705,15:09:00,AAPL,141.15,141.227,141.08,141.2259,127749
20220705,15:10:00,AAPL,141.22,141.2399,141.14,141.2,100279
20220705,15:11:00,AAPL,141.205,141.2168,140.995,141.02,139752
20220705,15:12:00,AAPL,141.025,141.06,140.87,140.95,130156
20220705,15:13:00,AAPL,140.94,140.96,140.8132,140.9192,107815
