,Unnamed: 0,Ticker,open,high,low,close,volume,Date
237727,323,MMM,55.75,56.96875,54.75,56.34375,4810600,20001221
238278,332,MMM,54.3,55.0,53.8,54.915,2491400,20011026
238864,363,MMM,69.4,69.41,68.78,69.0,3613700,20060807
239492,390,MMM,154.08,154.5,152.7,152.71,2613316,20150708
240134,384,MMM,87.52,87.6,86.23,86.53,3266770,20101221
240766,383,MMM,84.98,85.05,83.72,84.11,3598277,20101209
241390,375,MMM,68.77,69.96,68.68,69.46,3083525,20080703
242026,389,MMM,156.77,157.65,156.27,157.12,2349130,20150720
242665,381,MMM,92.71,93.29,91.35,92.19,2772720,20110304
243279,365,MMM,164.13,166.64,163.04,163.38,3764883,20200811
243862,345,MMM,84.55,85.77,84.41,84.95,2742900,20040527
244469,376,MMM,200.99,203.07,200.13,202.07,1920564,20180717
245025,313,MMM,48.03125,48.25,47.03125,47.1875,2173400,20000103
