open,high,low,close,volume,Date,Time
2286.31,2286.52,2285.3,2285.96,600,20220706,15:17:00
2286.86,2286.86,2283.7739,2285.08,1489,20220706,15:18:00
2284.5801,2285.585,2284.5801,2285.585,460,20220706,15:19:00
2287.11,2287.79,2285.54,2287.79,1960,20220706,15:20:00
2286.3101,2289.99,2285.7278,2287.68,1430,20220706,15:21:00
2285.32,2285.855,2284.6,2284.6,780,20220706,15:22:00
2284.4001,2285.0,2284.4001,2285.0,528,20220706,15:23:00
2286.94,2287.215,2286.1701,2286.1701,980,20220706,15:24:00
2287.11,2287.11,2285.47,2285.47,860,20220706,15:25:00
2285.72,2285.72,2284.55,2284.55,380,20220706,15:26:00
2284.61,2284.61,2282.45,2282.45,480,20220706,15:27:00
2282.68,2283.26,2282.1,2282.1,490,20220706,15:28:00
2283.26,2283.26,2282.18,2282.56,2117,20220706,15:29:00
2281.0,2281.0,2277.47,2277.47,1020,20220706,15:30:00
2276.5142,2277.655,2276.3301,2276.7876,1210,20220706,15:31:00
2276.8,2276.8,2274.11,2274.11,480,20220706,15:32:00
2277.85,2277.85,2273.48,2275.015,2011,20220706,15:33:00
2274.44,2275.91,2274.44,2275.75,580,20220706,15:34:00
2277.215,2277.39,2277.215,2277.39,280,20220706,15:35:00
2276.3,2277.16,2276.22,2277.16,680,20220706,15:36:00
2279.0,2279.0,2278.03,2278.65,530,20220706,15:37:00
2279.4599,2279.4599,2279.4599,2279.4599,100,20220706,15:38:00
2279.01,2279.4191,2276.31,2276.31,2084,20220706,15:39:00
2276.71,2276.71,2274.2269,2275.6042,580,20220706,15:40:00
2276.61,2276.61,2275.2867,2275.39,860,20220706,15:41:00
2275.0,2276.65,2275.0,2276.65,300,20220706,15:42:00
2276.21,2277.525,2275.84,2275.84,560,20220706,15:43:00
2276.29,2277.12,2276.18,2277.11,650,20220706,15:44:00
2276.2,2276.2,2274.17,2275.4001,1160,20220706,15:45:00
2278.96,2278.96,2278.96,2278.96,100,20220706,15:46:00
2277.81,2277.81,2277.76,2277.76,444,20220706,15:47:00
2277.9324,2278.545,2277.35,2277.8,1670,20220706,15:48:00
2278.04,2278.04,2276.905,2276.91,1200,20220706,15:49:00
2276.995,2277.0,2275.84,2277.0,1119,20220706,15:50:00
2277.205,2278.18,2275.4601,2275.4601,980,20220706,15:51:00
2277.0,2277.1,2275.81,2277.0,1880,20220706,15:52:00
2276.1518,2276.62,2275.8,2276.62,760,20220706,15:53:00
2276.0,2276.64,2275.3,2275.3,2042,20220706,15:54:00
2276.3,2276.473,2276.3,2276.473,400,20220706,15:55:00
2277.755,2277.8,2277.58,2277.58,450,20220706,15:56:00
2276.3001,2278.91,2276.3001,2278.1,480,20220706,15:57:00
2278.27,2280.0,2278.02,2279.815,880,20220706,15:58:00
2279.49,2279.49,2277.3,2277.3,1260,20220706,15:59:00
2276.87,2277.19,2276.87,2277.19,280,20220706,16:00:00
2276.3959,2277.08,2276.3959,2276.715,380,20220706,16:01:00
2277.3,2277.3,2276.18,2277.24,510,20220706,16:02:00
2277.32,2277.37,2277.32,2277.37,200,20220706,16:03:00
2276.55,2277.32,2275.0,2275.62,1560,20220706,16:04:00
2276.48,2276.63,2275.6797,2276.63,460,20220706,16:05:00
